fundstelle;bezeichnung;nutzungsdauer_jahre;quelle
1.1;Hallen in Leichtbauweise;14;BMF 15.12.2000
1.2;Tennishallen, Squashhallen u.ä.;20;BMF 15.12.2000
1.3;Traglufthallen;10;BMF 15.12.2000
1.4;Kühlhallen;20;BMF 15.12.2000
1.5;Baracken und Schuppen;16;BMF 15.12.2000
1.6;Baubuden;8;BMF 15.12.2000
1.7;Bierzelte;8;BMF 15.12.2000
1.8;Pumpenhäuser, Trafostationshäuser und Schalthäuser;20;BMF 15.12.2000
1.9.1;aus Beton;33;BMF 15.12.2000
1.9.2;aus Stahl;25;BMF 15.12.2000
1.9.3;aus Kunststoff;17;BMF 15.12.2000
1.10.1;aus Mauerwerk oder Beton;33;BMF 15.12.2000
1.10.2;aus Metall;10;BMF 15.12.2000
1.11;Laderampen;25;BMF 15.12.2000
2.1.1;mit Packlage;19;BMF 15.12.2000
2.1.2;in Kies, Schotter, Schlacken;9;BMF 15.12.2000
2.2.1;aus Stahl und Beton;33;BMF 15.12.2000
2.2.2;aus Holz;15;BMF 15.12.2000
2.3.1;aus Holz;5;BMF 15.12.2000
2.3.2;Sonstige;17;BMF 15.12.2000
2.4;Außenbeleuchtung, Straßenbeleuchtung;19;BMF 15.12.2000
2.5;Orientierungssysteme, Schilderbrücken;10;BMF 15.12.2000
2.6;Uferbefestigungen;20;BMF 15.12.2000
2.7.1;Brunnen;20;BMF 15.12.2000
2.7.2.1;aus Beton oder Mauerwerk;33;BMF 15.12.2000
2.7.2.2;aus Ton oder Kunststoff;13;BMF 15.12.2000
2.7.3;Kläranlagen m. Zu- und Ableitung;20;BMF 15.12.2000
2.7.4;Löschwasserteiche;20;BMF 15.12.2000
2.7.5;Wasserspeicher;20;BMF 15.12.2000
2.8;Grünanlagen;15;BMF 15.12.2000
2.9;Golfplätze;20;BMF 15.12.2000
3.1.1;Dampferzeugung (Dampfkessel mit Zubehör);15;BMF 15.12.2000
3.1.2;Stromerzeugung (Gleichrichter, Ladeaggregate, Notstromaggregate, Stromgeneratoren, Stromumformer usw.);19;BMF 15.12.2000
3.1.3;Akkumulatoren;10;BMF 15.12.2000
3.1.4;Kraft-Wärmekopplungsanlagen (Blockheizkraftwerke);10;BMF 15.12.2000
3.1.5;Windkraftanlagen;16;BMF 15.12.2000
3.1.6;Photovoltaikanlagen;20;BMF 15.12.2000
3.1.7;Solaranlagen;10;BMF 15.12.2000
3.1.8;Heißluft-, Kälteanlagen, Kompressoren, Ventilatoren usw.;14;BMF 15.12.2000
3.1.9;Kessel einschl. Druckkessel;15;BMF 15.12.2000
3.1.10;Wasseraufbereitungsanlagen;12;BMF 15.12.2000
3.1.11;Wasserenthärtungsanlagen;12;BMF 15.12.2000
3.1.12;Wasserreinigungsanlagen;11;BMF 15.12.2000
